🚀 Supabase Upload Script Started
Processing [121/3027] photo_3.jpg... ✅ Done.
Processing [122/3027] photo_4.jpg... ✅ Done.
Processing [123/3027] photo_5.jpg... ✅ Done.
Processing [124/3027] photo_6.jpg... ✅ Done.
Processing [125/3027] photo_7.jpg... ✅ Done.
Processing [126/3027] photo_8.jpg... ✅ Done.
Processing [127/3027] photo_9.JPG... ✅ Done.
Processing [128/3027] photo_1.PNG... ✅ Done.
Processing [129/3027] photo_1.PNG... ✅ Done.
Processing [130/3027] photo_1.PNG... ✅ Done.
Processing [131/3027] photo_1.PNG... ✅ Done.
Processing [132/3027] photo_1.PNG... ✅ Done.
Processing [133/3027] photo_1.PNG... ✅ Done.
Processing [134/3027] photo_1.jpg... ✅ Done.
Processing [135/3027] photo_2.JPG... ✅ Done.
Processing [136/3027] photo_3.JPG... ✅ Done.
Processing [137/3027] photo_1.PNG... ✅ Done.
Processing [138/3027] photo_1.PNG... ✅ Done.
Processing [139/3027] photo_1.PNG... ✅ Done.
Processing [140/3027] photo_1.PNG... ✅ Done.
Processing [141/3027] photo_1.PNG... ✅ Done.
Processing [142/3027] photo_1.PNG... ✅ Done.
Processing [143/3027] photo_1.PNG... ✅ Done.
Processing [144/3027] photo_1.PNG... ✅ Done.
Processing [145/3027] photo_1.PNG... ✅ Done.
Processing [146/3027] photo_1.PNG... ✅ Done.
Processing [147/3027] photo_1.PNG... ✅ Done.
Processing [148/3027] photo_1.PNG... ✅ Done.
Processing [149/3027] photo_1.jpg... ✅ Done.
Processing [150/3027] photo_1.PNG... ✅ Done.
Processing [151/3027] photo_1.PNG... ✅ Done.
Processing [152/3027] photo_1.jpg... ✅ Done.
Processing [153/3027] photo_1.jpg... ✅ Done.
Processing [154/3027] photo_2.jpg... ✅ Done.
Processing [155/3027] photo_3.jpg... ✅ Done.
Processing [156/3027] photo_4.jpg... ✅ Done.
Processing [157/3027] photo_1.PNG... ✅ Done.
Processing [158/3027] photo_1.PNG... ✅ Done.
Processing [159/3027] photo_1.PNG... ✅ Done.
Processing [160/3027] photo_1.PNG... ✅ Done.
Processing [161/3027] photo_1.PNG... ✅ Done.
Processing [162/3027] photo_1.PNG... ✅ Done.
Processing [163/3027] photo_1.PNG... ✅ Done.
Processing [164/3027] photo_1.PNG... ✅ Done.
Processing [165/3027] photo_1.PNG... ✅ Done.
Processing [166/3027] photo_1.PNG... ✅ Done.
Processing [167/3027] photo_1.jpg... ✅ Done.
Processing [168/3027] photo_1.PNG... ✅ Done.
Processing [169/3027] photo_1.PNG... ✅ Done.
Processing [170/3027] photo_1.PNG... ✅ Done.
Processing [171/3027] photo_1.PNG... ✅ Done.
Processing [172/3027] photo_1.PNG... ✅ Done.
Processing [173/3027] photo_1.PNG... ✅ Done.
Processing [174/3027] photo_1.PNG... ✅ Done.
Processing [175/3027] photo_1.jpg... ✅ Done.
Processing [176/3027] photo_2.jpg... ✅ Done.
Processing [177/3027] photo_1.jpg... ✅ Done.
Processing [178/3027] photo_1.jpg... ✅ Done.
Processing [179/3027] photo_10.jpg... ✅ Done.
Processing [180/3027] photo_2.jpg... ✅ Done.
Processing [181/3027] photo_3.jpg... ✅ Done.
Processing [182/3027] photo_4.jpg... ✅ Done.
Processing [183/3027] photo_5.jpg... ✅ Done.
Processing [184/3027] photo_6.jpg... ✅ Done.
Processing [185/3027] photo_7.jpg... ✅ Done.
Processing [186/3027] photo_8.jpg... ❌ Error: Input buffer contains unsupported image format
Processing [187/3027] photo_9.jpg... ❌ Error: Input buffer contains unsupported image format
Processing [188/3027] photo_1.PNG... ✅ Done.
Processing [189/3027] photo_1.jpg... ✅ Done.
Processing [190/3027] photo_10.jpg... ✅ Done.
Processing [191/3027] photo_11.jpg... ✅ Done.
Processing [192/3027] photo_12.jpg... ✅ Done.
Processing [193/3027] photo_2.jpg... ✅ Done.
Processing [194/3027] photo_3.jpg... ✅ Done.
Processing [195/3027] photo_4.jpg... ✅ Done.
Processing [196/3027] photo_5.jpg... ✅ Done.
Processing [197/3027] photo_6.jpg... ✅ Done.
Processing [198/3027] photo_7.jpg... ✅ Done.
Processing [199/3027] photo_8.jpg... ✅ Done.
Processing [200/3027] photo_9.jpg... ✅ Done.
Processing [201/3027] photo_1.PNG... ✅ Done.
Processing [202/3027] photo_1.jpg... ✅ Done.
Processing [203/3027] photo_2.jpg... ✅ Done.
Processing [204/3027] photo_3.jpg... ✅ Done.
Processing [205/3027] photo_4.jpg... ✅ Done.
Processing [206/3027] photo_1.PNG... ✅ Done.
Processing [207/3027] photo_1.PNG... ✅ Done.
Processing [208/3027] photo_1.PNG... ✅ Done.
Processing [209/3027] photo_1.PNG... ✅ Done.
Processing [210/3027] photo_1.PNG... ✅ Done.
Processing [211/3027] photo_1.PNG... ✅ Done.
Processing [212/3027] photo_1.PNG... ✅ Done.
Processing [213/3027] photo_1.jpg... ✅ Done.
Processing [214/3027] photo_10.JPG... ✅ Done.
Processing [215/3027] photo_11.JPG... ✅ Done.
Processing [216/3027] photo_12.jpg... ✅ Done.
Processing [217/3027] photo_2.jpg... ✅ Done.
Processing [218/3027] photo_3.jpg... ✅ Done.
Processing [219/3027] photo_4.jpg... ✅ Done.
Processing [220/3027] photo_5.jpg... ✅ Done.
Processing [221/3027] photo_6.png... ✅ Done.
Processing [222/3027] photo_7.JPG... ✅ Done.
Processing [223/3027] photo_8.jpg... ✅ Done.
Processing [224/3027] photo_9.JPG... ✅ Done.
Processing [225/3027] photo_1.PNG... ✅ Done.
Processing [226/3027] photo_1.PNG... ✅ Done.
Processing [227/3027] photo_1.PNG... ✅ Done.
Processing [228/3027] photo_1.PNG... ✅ Done.
Processing [229/3027] photo_1.PNG... ✅ Done.
Processing [230/3027] photo_1.PNG... ✅ Done.
Processing [231/3027] photo_1.PNG... ✅ Done.
Processing [232/3027] photo_1.jpg... ✅ Done.
Processing [233/3027] photo_2.jpg... ✅ Done.
Processing [234/3027] photo_3.jpg... ✅ Done.
Processing [235/3027] photo_1.jpg... ✅ Done.
Processing [236/3027] photo_2.jpg... ✅ Done.
