시설명,주소,전화번호,시설구분,위도,경도,운영주체
서울아산병원 장례식장,서울특별시 송파구 올림픽로43길 88,02-3010-2000,장례식장,37.524022,127.108257,사설
삼성서울병원 장례식장,서울특별시 강남구 일원로 81,02-3410-3151,장례식장,37.488347,127.085151,사설
서울추모공원,서울특별시 서초구 원지동 352-1,02-3498-2581,화장시설,37.447385,127.054359,공설
분당메모리얼파크,경기도 성남시 분당구 새나리로 79,031-704-6301,봉안당,37.388182,127.149258,사설
용인 평온의 숲,경기도 용인시 처인구 이동읍 평온의숲 77,031-329-5900,자연장지,37.151978,127.228965,공설
국립서울현충원,서울특별시 동작구 현충로 210,02-815-0625,묘지,37.500588,126.968798,공설
은평성모병원 장례식장,서울특별시 은평구 통일로 1021,02-2030-4444,장례식장,37.633452,126.917834,사설
