ParkID,ParkName,MinLandFee
park-0262,석우리공설묘지,26000
park-0263,구리시공설묘지,120000
park-0264,덕도리공설묘지,26000
park-0265,대곡공설묘지(만장),3600
park-0266,(재)대명공원묘원,21100000
park-0268,백운공원묘원 제1묘원,700000
park-0269,백운공원묘원 제2묘원,700000
park-0027,우성공원묘원,2500
park-0271,익산하늘공원묘지,300000
park-0272,통일촌 공설묘지,95000
park-0273,탄현면 공설묘지,95000
park-0274,부안수동공설묘지,90000
park-0275,부안용산공설묘지,90000
park-0276,북상공설공원묘지,300000
park-0277,북양공설공원묘지,80000
park-0278,안성시공설공원묘지(사곡동),50000
park-0279,사천시공설묘지,30000
park-0028,(재)화신공원묘원,720000
park-0280,상리공설묘지,15000
park-0282,상신공원묘지,80000
park-0283,청주시목련공원묘지,2042000
park-0285,천주교성환공원묘지,958000
park-0286,성석동공설묘지(만장),35000
park-0287,성주군공설묘지,50000
park-0288,미법리공설묘지,15000
park-0289,문형공설묘지(만장),60000
park-0029,청파동성당 청파묘원,100000
park-0290,대전공원묘원,6300000
park-0292,화천공원묘원,30000
park-0293,화교화원,1000000
park-0294,영암군덕진공설묘지,90000
park-0295,덕포리공설묘지,15000
park-0296,도림동공설묘지(매장불가),3600
park-0297,동산리공설묘지,15000
park-0298,(재)평화공원,750000
park-0299,하일리공설묘지,15000
park-0003,(재)삼덕공원묘원,30000
park-0030,(재)풍산공원묘원,222122
park-0300,장흥공설공원묘지,400000
park-0301,무궁화공원묘원,680000
park-0302,망월묘지공원,3081000
park-0303,하늘공원(부곡동공설공원묘지),253000
park-0304,모란공원(묘지),430500
park-0031,청파동성당 평화묘원,40000
park-0310,내유동공설묘지(만장),5000
park-0032,(재)호정공원(묘지),2000
park-0320,내리공설묘지(화도면),15000
park-0033,(주)광림공원 동산공원묘원(묘지),9000
park-0331,운연동공설묘지(매장불가),3600
park-0337,후방산 공설묘지,60000
park-0338,천도교 무봉공원,1000000
park-0034,삼척시추모공원 묘지 제1단지,370000
park-0340,표선면공설묘지,50000
park-0342,안양시청계공설묘지(만장),42000
park-0343,정읍시입암묘지공원,344400
park-0346,조천읍공설묘지,200000
park-0035,(재)동산공원묘원,1500
park-0356,동강면공설묘지,10000
park-0036,유달공원묘지,75000
park-0363,문평면공설묘지,10000
park-0364,반남면공설묘지,10000
park-0369,봉황면공설묘지,10000
park-0037,(재)지평선전북공원묘원(묘지),200000
park-0371,부활동산종교재단법인,10000
park-0375,산포면공설묘지,10000
park-0038,(재)진달래문화재단,10315000
park-0382,공산면공설묘지,10000
park-0384,구례군공설묘지,200000
park-0385,구좌읍공설묘지,200000
park-0387,금남동공설묘지,10000
park-0039,(재)석계공원묘원,400000
park-0391,천주교나주성당공원묘지,10000
park-0393,남원읍공설묘지,50000
park-0394,남평읍공설묘지,10000
park-0397,다도면공설묘지,10000
park-0398,다시면공설묘지,10000
park-0004,재단법인울산공원묘원,110000
park-0040,영락공원묘원,10000
park-0400,대정읍공설묘지,50000
park-0403,성산읍공설묘지,50000
park-0404,성북동공설묘지,10000
park-0405,의정부시공설묘지,60000
park-0406,영산동공설묘지,10000
park-0407,세지면공설묘지,10000
park-0408,우도면공설묘지,200000
park-0409,송월교회(묘지),970000
park-0041,(재)자하연포천(묘지),1500000
park-0411,용담망향의공설묘지,60000
park-0414,왕곡면공설묘지,10000
park-0417,완도군추모공원,274900
park-0418,안덕면공설묘지,50000
park-0419,애월읍공설묘지,200000
park-0042,별그리다(THE HILL),412000
park-0420,어승생공설묘지,200000
park-0421,영강동공설묘지,10000
park-0423,이창동공설묘지,10000
park-0428,색달동공설묘지,100000
park-0043,(재)경맥백합공원,200000
park-0430,서부공설묘지,200000
park-0044,(재)한남공원묘원,581190
park-0045,충주공원묘원,120000
park-0046,동화경모공원(묘지),120000
park-0464,신세계공원,1000000
park-0047,양양군공설묘원,240000
park-0048,대정공원묘원,350000
park-0049,천주교혜화동성당 포천묘원,350000
park-0005,진주내동공원묘원,110000
park-0050,광주공원묘원,1895100
park-0051,영모묘원,200000
park-0052,칠량자연공원묘원,800000
park-0053,(재)봉황공원묘지,100000
park-0054,(재)우성공원묘원,1600000
park-0055,동해시하늘정원묘지,360000
park-0056,(재)용인공원(묘지),25000
park-0057,함안군공설추모공원,270000
park-0058,(재)경주공원묘원,332748
park-0059,남한강공원묘원,2920000
park-0006,신불산공원묘원,55000
park-0060,(재)조양공원,14000
park-0061,고성군 공설묘원,74640
park-0062,초동교회공원묘원,500000
park-0063,태백공원묘원,1650000
park-0064,진천군공설묘지,201000
park-0065,(재)광주구천주교공원묘원,200000
park-0066,(재)개나리추모공원,724000
park-0067,금호동성당 천보묘원(묘지),397000
park-0068,전농동성당 평화묘원,2000000
park-0069,(재)천주교평내공원묘원,1000000
park-0007,예산군추모공원,30000
park-0070,재림공원묘원,350000
park-0071,(재)신세계공원묘원,1000000
park-0072,영종공설묘지(신규매장불가),3600
park-0073,재단법인 춘천공원묘원,17000
park-0074,창원공원묘원(묘지),2700000
park-0075,(재)학명묘원,230000
park-0076,백란공원묘원,1600000
park-0078,신당동성당 소화묘원,800000
park-0079,오창장미공원,158900
park-0008,(재)대지공원묘원,1200000
park-0080,평창군 공설묘지,2000000
park-0082,세종시공설묘지,90000
park-0083,대전추모공원 가족묘원,200000
park-0084,매화공원묘지,70000
park-0085,영동공원묘원,300000
park-0086,(재)천주교세종로묘원,800000
park-0087,서라벌공원묘원,332749
park-0088,김해하늘공원(묘지),2500000
park-0089,여수시공설묘지공원,540000
park-0009,재단법인선산공원묘원,300000
park-0090,정선하늘공원,300000
park-0091,광릉 더 크레스트 묘지,84200
park-0093,청량리성당 다볼산묘원,210000
park-0094,예래원(묘지),373370
park-0095,현대공원1묘원,1300000
park-0096,전주효자공원,40000
park-0097,현대공원2묘원,1300000
park-0098,(재)청구공원,1000000
park-0099,천주교효천공원묘지,540000
